cat,nfor,ndefor,rate
1,70257,0,0.0
2,17189,47,0.0002737677057136345
3,4258,15,0.0003528377632203705
4,15311,92,0.0006025061272738608
5,17683,110,0.0006238146327092187
6,11130,105,0.0009474253044248204
7,14920,177,0.0011927082482405815
8,12727,164,0.001296132792132032
9,14891,265,0.0017940125082326341
10,13132,299,0.0023005518028015315
11,14465,426,0.002984813304695466
12,13178,465,0.0035859232179679124
13,13776,528,0.0039005081834248
14,14171,670,0.004831676323289402
15,13476,665,0.005047831528526614
16,12955,740,0.0058644475313929245
17,13664,1032,0.007822380697904308
18,13135,1101,0.008716236063077365
19,13244,1383,0.01096829601326288
20,13504,1520,0.01187033612740418
21,13482,1969,0.015663888054766262
22,13273,2491,0.02057085482359411
23,13219,3053,0.02591882503314602
24,13364,4382,0.03895514425036728
25,13171,7915,0.08777144904227452
